filename|param_number|t_stop|t_initial|termination_condition|t_value_change|min_t|max_t|evaluated_t|runtime|avg_t|std_t|avg_runtime|std_runtime
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|0|0.1|1|200|0.1|45|98|48|9.829364776611328|52.2|3.03315017762062|10.416458368301392|0.3733269700976991
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|0|0.1|1|200|0.1|45|98|54|10.68284821510315|52.2|3.03315017762062|10.416458368301392|0.3733269700976991
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|0|0.1|1|200|0.1|45|98|50|10.302392959594727|52.2|3.03315017762062|10.416458368301392|0.3733269700976991
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|0|0.1|1|200|0.1|45|98|55|10.50283408164978|52.2|3.03315017762062|10.416458368301392|0.3733269700976991
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|0|0.1|1|200|0.1|45|98|54|10.764851808547974|52.2|3.03315017762062|10.416458368301392|0.3733269700976991
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|1|0.1|1|200|0.05|45|98|47|19.282654285430908|47.2|1.9235384061671343|18.598344230651854|0.44678739784209076
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|1|0.1|1|200|0.05|45|98|50|18.820480585098267|47.2|1.9235384061671343|18.598344230651854|0.44678739784209076
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|1|0.1|1|200|0.05|45|98|48|18.361212968826294|47.2|1.9235384061671343|18.598344230651854|0.44678739784209076
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|1|0.1|1|200|0.05|45|98|46|18.245959758758545|47.2|1.9235384061671343|18.598344230651854|0.44678739784209076
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|1|0.1|1|200|0.05|45|98|45|18.281413555145264|47.2|1.9235384061671343|18.598344230651854|0.44678739784209076
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|2|0.1|0.5|200|0.05|45|98|59|13.352401971817017|50.8|5.118593556827891|14.903495740890502|1.9367155293786462
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|2|0.1|0.5|200|0.05|45|98|51|13.21785855293274|50.8|5.118593556827891|14.903495740890502|1.9367155293786462
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|2|0.1|0.5|200|0.05|45|98|49|16.50390124320984|50.8|5.118593556827891|14.903495740890502|1.9367155293786462
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|2|0.1|0.5|200|0.05|45|98|50|14.010500192642212|50.8|5.118593556827891|14.903495740890502|1.9367155293786462
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|2|0.1|0.5|200|0.05|45|98|45|17.432816743850708|50.8|5.118593556827891|14.903495740890502|1.9367155293786462
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|3|0.1|1|400|0.1|45|98|49|17.967055797576904|48.4|2.9664793948382653|17.62764220237732|0.5662420235866741
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|3|0.1|1|400|0.1|45|98|45|17.773720026016235|48.4|2.9664793948382653|17.62764220237732|0.5662420235866741
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|3|0.1|1|400|0.1|45|98|48|18.148845672607422|48.4|2.9664793948382653|17.62764220237732|0.5662420235866741
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|3|0.1|1|400|0.1|45|98|53|16.69557023048401|48.4|2.9664793948382653|17.62764220237732|0.5662420235866741
../instances/inst_set1a_sf0.75_nc1.8_n20_m20_03.dzn|3|0.1|1|400|0.1|45|98|47|17.553019285202026|48.4|2.9664793948382653|17.62764220237732|0.5662420235866741
